Cluster	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Dim.1	R-HSA-190840	Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane	2/13	18/11091	0.111111111111111	94.7948717948718	13.6423587387611	0.000192007188546853	0.0086340578174168	0.00302949397102344	TUBA1B/TUBB4B	2
Dim.1	R-HSA-190872	Transport of connexons to the plasma membrane	2/13	19/11091	0.105263157894737	89.8056680161943	13.2712312329746	0.000214454388369052	0.0086340578174168	0.00302949397102344	TUBA1B/TUBB4B	2
Dim.1	R-HSA-389977	Post-chaperonin tubulin folding pathway	2/13	22/11091	0.0909090909090909	77.5594405594406	12.3129656182454	0.000289127327874137	0.0086340578174168	0.00302949397102344	TUBA1B/TUBB4B	2
Dim.1	R-HSA-1852241	Organelle biogenesis and maintenance	4/13	296/11091	0.0135135135135135	11.529106029106	6.28974154671142	0.000293787173688813	0.0086340578174168	0.00302949397102344	TUBA1B/TUBB4B/MARK4/MEF2D	4
Dim.1	R-HSA-389960	Formation of tubulin folding intermediates by CCT/TriC	2/13	25/11091	0.08	68.2523076923077	11.5315750946339	0.000374745816337638	0.0086340578174168	0.00302949397102344	TUBA1B/TUBB4B	2
Dim.1	R-HSA-110373	Resolution of AP sites via the multiple-nucleotide patch replacement pathway	2/13	26/11091	0.0769230769230769	65.6272189349112	11.3014248440559	0.000405706251994167	0.0086340578174168	0.00302949397102344	PARP1/POLD2	2
Dim.1	R-HSA-73894	DNA Repair	4/13	335/11091	0.0119402985074627	10.1869115958668	5.84888810305872	0.000470881753379227	0.0086340578174168	0.00302949397102344	PARP1/SLX4/DCLRE1A/POLD2	4
Dim.1	R-HSA-9619483	Activation of AMPK downstream of NMDARs	2/13	29/11091	0.0689655172413793	58.8381962864721	10.6832571342244	0.000505816279641905	0.0086340578174168	0.00302949397102344	TUBA1B/TUBB4B	2
Dim.1	R-HSA-5693538	Homology Directed Repair	3/13	140/11091	0.0214285714285714	18.2818681318681	7.04911481150201	0.000513171071478626	0.0086340578174168	0.00302949397102344	PARP1/SLX4/POLD2	3
Dim.1	R-HSA-9668328	Sealing of the nuclear envelope (NE) by ESCRT-III	2/13	31/11091	0.0645161290322581	55.0421836228288	10.3215029497435	0.000578555950953361	0.0086340578174168	0.00302949397102344	TUBA1B/TUBB4B	2
Dim.1	R-HSA-389958	Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding	2/13	32/11091	0.0625	53.3221153846154	10.1533445290594	0.000616718415529772	0.0086340578174168	0.00302949397102344	TUBA1B/TUBB4B	2
Dim.1	R-HSA-5626467	RHO GTPases activate IQGAPs	2/13	32/11091	0.0625	53.3221153846154	10.1533445290594	0.000616718415529772	0.0086340578174168	0.00302949397102344	TUBA1B/TUBB4B	2
Dim.1	R-HSA-190861	Gap junction assembly	2/13	36/11091	0.0555555555555556	47.3974358974359	9.55152300807551	0.000781262805092007	0.00936297127634297	0.00328525307941859	TUBA1B/TUBB4B	2
Dim.1	R-HSA-5693532	DNA Double-Strand Break Repair	3/13	170/11091	0.0176470588235294	15.0556561085973	6.32631990079053	0.000903721374060414	0.00936297127634297	0.00328525307941859	PARP1/SLX4/POLD2	3
Dim.1	R-HSA-73933	Resolution of Abasic Sites (AP sites)	2/13	39/11091	0.0512820512820513	43.7514792899408	9.16156740112022	0.000917092991518442	0.00936297127634297	0.00328525307941859	PARP1/POLD2	2
Dim.1	R-HSA-6783310	Fanconi Anemia Pathway	2/13	40/11091	0.05	42.6576923076923	9.04130630915162	0.000964723003652517	0.00936297127634297	0.00328525307941859	SLX4/DCLRE1A	2
Dim.1	R-HSA-5696400	Dual Incision in GG-NER	2/13	41/11091	0.0487804878048781	41.6172607879925	8.92541029740647	0.00101352567230162	0.00936297127634297	0.00328525307941859	PARP1/POLD2	2
Dim.1	R-HSA-9609736	Assembly and cell surface presentation of NMDA receptors	2/13	41/11091	0.0487804878048781	41.6172607879925	8.92541029740647	0.00101352567230162	0.00936297127634297	0.00328525307941859	TUBA1B/TUBB4B	2
Dim.1	R-HSA-8955332	Carboxyterminal post-translational modifications of tubulin	2/13	42/11091	0.0476190476190476	40.6263736263736	8.8136186883265	0.0010634986112788	0.00936297127634297	0.00328525307941859	TUBA1B/TUBB4B	2
Dim.1	R-HSA-9646399	Aggrephagy	2/13	43/11091	0.0465116279069767	39.6815742397138	8.70569212295457	0.00111463943765988	0.00936297127634297	0.00328525307941859	TUBA1B/TUBB4B	2
